Date,Avg,High,Low
20151115,75,90,50
20151116,59,80,40
20151117,66,110,40
20151118,80,110,40
20151119,58,80,40
20151120,34,40,30
20151121,32,60,10
20151122,25,40,10
20151123,29,50,10
20151124,60,80,40
20151125,23,40,10
20151126,17,20,10
20151127,43,70,20
20151128,60,100,30
20151129,73,110,50
20151130,61,90,30
20151201,33,60,10
20151202,48,50,40
20151203,46,60,30
20151204,55,70,30
20151205,73,90,60
20151206,65,80,40
20151207,31,40,20
20151208,44,50,30
20151209,39,50,20
20151210,55,70,40
20151211,50,70,30
20151212,54,110,20
20151213,24,90,0
20151214,26,40,20
20151215,24,40,10
20151216,42,50,30
20151217,44,50,30
20151218,43,60,30
20151219,43,50,30
20151220,46,60,40
20151221,68,100,40
20151222,78,90,50
20151223,58,80,30
20151224,55,80,40
20151225,51,80,30
20151226,67,80,50
20151227,57,70,40
20151228,37,50,20
20151229,33,50,20
20151230,55,80,30
20151231,53,80,40
