Datum, Windsnelheid, Temperatuur, Bewolking
20161112,32,20,8
20161113,23,27,6
20161114,32,31,7
20161115,32,108,8
20161116,40,119,8
20161117,53,93,8
20161118,55,60,7
20161119,48,58,7
20161120,73,84,8
20161121,45,120,8
20161122,45,110,8
20161123,27,79,8
20161124,58,66,8
20161125,40,33,6
20161126,10,-1,7
20161127,20,56,6
20161128,28,-3,0
20161129,11,-31,0
20161130,25,20,8
20161201,31,79,8
20161202,20,52,5
20161203,8,-1,4
20161204,24,-14,0
20161205,14,-27,2
20161206,19,1,6
20161207,38,63,8
20161208,45,82,8
20161209,40,91,8
20161210,43,78,8
20161211,38,85,7
20161212,20,53,7
20161213,28,66,8
20161214,23,73,8
20161215,40,65,8
20161216,30,54,7
20161217,18,61,8
20161218,20,62,8
20161219,23,43,5
20161220,22,-6,3
20161221,46,41,7
20161222,34,59,7
20161223,54,60,8
20161224,50,79,8
20161225,61,104,8
20161226,55,83,4
20161227,28,66,5
20161228,15,10,6
20161229,18,-22,8
20161230,22,-11,8
20161231,34,18,8
