# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,   TG,   NG
# 
  260,20160410,   28,  107,    3
  260,20160411,   62,  132,    3
  260,20160412,   28,  116,    5
  260,20160413,   22,   90,    6
  260,20160414,   20,  106,    7
  260,20160415,   33,  103,    8
  260,20160416,   49,   86,    7
  260,20160417,   22,   62,    4
  260,20160418,   41,   81,    5
  260,20160419,   33,   97,    6
  260,20160420,   28,   86,    3
  260,20160421,   37,  101,    4
  260,20160422,   37,   87,    8
  260,20160423,   34,   62,    6
  260,20160424,   35,   46,    6
  260,20160425,   35,   49,    7
  260,20160426,   51,   48,    8
  260,20160427,   36,   60,    8
  260,20160428,   30,   58,    6
  260,20160429,   51,   74,    8
  260,20160430,   30,   77,    7
  260,20160501,   23,   79,    3
  260,20160502,   34,  115,    8
  260,20160503,   33,   97,    3
  260,20160504,   18,   95,    5
  260,20160505,   36,  128,    7
  260,20160506,   36,  164,    7
  260,20160507,   36,  195,    4
  260,20160508,   52,  201,    0
  260,20160509,   58,  202,    4
  260,20160510,   34,  189,    8
  260,20160511,   36,  204,    7
  260,20160512,   55,  202,    3
  260,20160513,   52,  154,    5
  260,20160514,   44,   89,    6
  260,20160515,   35,   86,    6
  260,20160516,   26,   93,    7
  260,20160517,   28,  123,    5
  260,20160518,   29,  136,    7
  260,20160519,   22,  134,    8
  260,20160520,   37,  137,    8
  260,20160521,   39,  179,    8
  260,20160522,   24,  155,    8
  260,20160523,   42,  120,    8
  260,20160524,   37,  114,    8
  260,20160525,   17,  118,    8
  260,20160526,   19,  137,    6
  260,20160527,   33,  160,    6
  260,20160528,   24,  176,    5
  260,20160529,   36,  172,    7
  260,20160530,   48,  162,    8
  260,20160531,   29,  182,    6
  260,20160601,   39,  192,    7
  260,20160602,   48,  153,    8
  260,20160603,   22,  164,    8
  260,20160604,   23,  201,    6
  260,20160605,   35,  200,    1
  260,20160606,   29,  189,    4
  260,20160607,   30,  201,    7
  260,20160608,   29,  161,    8
  260,20160609,   30,  153,    5
  260,20160610,   21,  164,    8
  260,20160611,   16,  162,    8
  260,20160612,   13,  166,    8
  260,20160613,   28,  159,    8
  260,20160614,   28,  152,    8
  260,20160615,   20,  146,    8
  260,20160616,   20,  157,    6
  260,20160617,   18,  151,    8
  260,20160618,   30,  141,    8
  260,20160619,   28,  153,    7
  260,20160620,   45,  155,    8
  260,20160621,   23,  170,    8
  260,20160622,   24,  201,    6
  260,20160623,   24,  220,    7
  260,20160624,   25,  192,    6
  260,20160625,   17,  154,    6
  260,20160626,   29,  149,    6
  260,20160627,   31,  149,    8
  260,20160628,   26,  167,    7
  260,20160629,   43,  160,    8
  260,20160630,   38,  164,    8
  260,20160701,   50,  169,    8
  260,20160702,   47,  154,    5
  260,20160703,   27,  147,    6
  260,20160704,   17,  170,    4
  260,20160705,   41,  154,    6
  260,20160706,   25,  149,    6
  260,20160707,   25,  168,    8
  260,20160708,   34,  175,    7
  260,20160709,   33,  197,    7
  260,20160710,   35,  213,    8
  260,20160711,   60,  186,    6
  260,20160712,   29,  166,    7
  260,20160713,   23,  145,    6
  260,20160714,   29,  145,    5
  260,20160715,   28,  166,    6
  260,20160716,   32,  197,    8
  260,20160717,   26,  198,    6
  260,20160718,   20,  202,    2
  260,20160719,   22,  228,    0
  260,20160720,   34,  254,    3
  260,20160721,   24,  218,    5
  260,20160722,   15,  211,    7
  260,20160723,   25,  211,    6
  260,20160724,   18,  207,    7
  260,20160725,   25,  182,    8
  260,20160726,   14,  184,    7
  260,20160727,   32,  179,    8
  260,20160728,   27,  190,    7
  260,20160729,   38,  183,    8
  260,20160730,   21,  177,    8
  260,20160731,   24,  170,    6
  260,20160801,   24,  165,    7
  260,20160802,   30,  166,    8
  260,20160803,   53,  190,    7
  260,20160804,   43,  173,    7
  260,20160805,   28,  176,    6
  260,20160806,   25,  164,    4
  260,20160807,   42,  184,    6
  260,20160808,   39,  172,    7
  260,20160809,   25,  144,    7
  260,20160810,   23,  128,    5
  260,20160811,   35,  136,    8
  260,20160812,   34,  189,    5
  260,20160813,   31,  176,    7
  260,20160814,   18,  170,    6
  260,20160815,   25,  161,    4
  260,20160816,   33,  163,    4
  260,20160817,   35,  172,    0
  260,20160818,   29,  177,    1
  260,20160819,   24,  181,    5
  260,20160820,   41,  178,    5
  260,20160821,   43,  167,    7
  260,20160822,   36,  180,    6
  260,20160823,   20,  210,    3
  260,20160824,   27,  228,    1
  260,20160825,   23,  243,    3
  260,20160826,   25,  221,    5
  260,20160827,   35,  216,    6
  260,20160828,   37,  205,    6
  260,20160829,   22,  172,    6
  260,20160830,   11,  162,    3
  260,20160831,   19,  174,    4
  260,20160901,   18,  172,    7
  260,20160902,   31,  166,    8
  260,20160903,   29,  185,    8
  260,20160904,   47,  179,    7
  260,20160905,   21,  173,    6
  260,20160906,   17,  177,    5
  260,20160907,   17,  183,    1
  260,20160908,   27,  196,    1
  260,20160909,   20,  169,    1
  260,20160910,   26,  184,    5
  260,20160911,   18,  185,    8
  260,20160912,   18,  209,    1
  260,20160913,   27,  235,    0
  260,20160914,   23,  230,    0
  260,20160915,   31,  226,    4
  260,20160916,   30,  174,    8
  260,20160917,   20,  173,    7
  260,20160918,   29,  167,    6
  260,20160919,   13,  144,    7
  260,20160920,   11,  145,    6
  260,20160921,   21,  147,    8
  260,20160922,   18,  138,    6
  260,20160923,   21,  136,    4
  260,20160924,   28,  152,    6
  260,20160925,   35,  163,    3
  260,20160926,   11,  135,    6
  260,20160927,   25,  145,    4
  260,20160928,   48,  187,    7
  260,20160929,   51,  159,    8
  260,20160930,   33,  145,    7
  260,20161001,   29,  135,    6
  260,20161002,   37,  121,    6
  260,20161003,   28,  145,    3
  260,20161004,   41,  130,    4
  260,20161005,   48,   98,    0
  260,20161006,   36,   94,    5
  260,20161007,   29,  118,    7
  260,20161008,   24,  110,    8
  260,20161009,   11,   79,    5
  260,20161010,   18,   79,    7
  260,20161011,   18,   80,    6
  260,20161012,   41,   89,    8
  260,20161013,   56,   91,    8
  260,20161014,   45,   99,    8
  260,20161015,   28,  107,    7
  260,20161016,   33,  133,    5
  260,20161017,   22,  121,    5
  260,20161018,   36,  102,    6
  260,20161019,   35,   88,    7
  260,20161020,   25,   85,    5
  260,20161021,   15,   76,    7
  260,20161022,   15,   67,    6
  260,20161023,   14,   48,    4
  260,20161024,   23,   71,    8
  260,20161025,   14,   87,    8
  260,20161026,   21,   95,    7
  260,20161027,   35,  118,    8
  260,20161028,   30,  131,    8
  260,20161029,    7,   96,    3
  260,20161030,    8,   87,    7
  260,20161031,   12,   85,    5
  260,20161101,   17,   81,    7
  260,20161102,   23,   72,    6
  260,20161103,   23,   67,    8
  260,20161104,   38,   76,    8
  260,20161105,   27,   69,    6
  260,20161106,   29,   61,    6
  260,20161107,   26,   42,    8
  260,20161108,   18,   19,    6
  260,20161109,   28,   30,    8
  260,20161110,   23,   40,    8
  260,20161111,   28,   18,    4
  260,20161112,   32,   20,    8
  260,20161113,   23,   27,    6
  260,20161114,   32,   31,    7
  260,20161115,   32,  108,    8
  260,20161116,   40,  119,    8
